strength_of_noise,iteration,Method,avg_independent_features_statistics,min_independent_features_statistics,max_independent_features_statistics,avg_dependent_features_statistics,min_dependent_features_statistics,max_dependent_features_statistics,top3_selected_features,independent_vs_dependent_avg_statistics_diff_%
0.01,0,Pearson_Correlation_(abs),0.006980406109650316,0.00019913778098404702,0.024428306776069865,0.1769742679172487,0.00561421651709848,0.4999137506446339,"[0, 7, 8, 9]",2435.3
0.01,0,Mutual_Information,0.003198898061362484,0.0,0.014930543424994447,0.5597094083021924,0.0,1.6742818745126886,"[1, 2, 8, 9]",17396.94
0.01,0,Distance_Correlation,0.01706454940037458,0.011614409131412281,0.03382916945151353,0.17969730347310306,0.01914348264767115,0.4920305665442058,"[4, 7, 8, 9]",953.04
0.01,0,Proposed_Method,0.08447349943585127,0.08353256095319964,0.08504885020429316,0.13622850131634703,0.13174742616023452,0.14415683605284868,"[7, 8, 9]",61.27
0.01,1,Pearson_Correlation_(abs),0.0069518091256959525,0.00027721523545557776,0.02609135687314884,0.17353051968386168,0.0004466994005554786,0.5047225615849401,"[0, 2, 6, 7, 8, 9]",2396.19
0.01,1,Mutual_Information,0.002489647904070157,0.0,0.01453745270651119,0.5663236627994991,0.0020929146359183193,1.6897169567731982,"[5, 6, 7, 8, 9]",22647.14
0.01,1,Distance_Correlation,0.016993795497840174,0.011622554887498625,0.023319944036854248,0.17919877684371635,0.013372556479101306,0.5055230070495279,"[0, 2, 6, 8, 9]",954.5
0.01,1,Proposed_Method,0.086856141755588,0.08627961148553093,0.08790017784758636,0.13066900257029465,0.12532718317655045,0.13431762566435507,"[7, 8, 9]",50.44
0.01,2,Pearson_Correlation_(abs),0.006950012821154367,0.00015212700261203199,0.020570170725224168,0.16662956307698715,0.00019936642090523295,0.4936229245656873,"[0, 2, 6, 7, 8, 9]",2297.54
0.01,2,Mutual_Information,0.003650275876518957,0.0,0.01507920327950707,0.5589096928480144,0.0,1.6767290785440432,"[1, 2, 3, 7, 8, 9]",15211.44
0.01,2,Distance_Correlation,0.017224656522987963,0.012245518192717436,0.02629285648431654,0.1737907269529135,0.014062654233204599,0.4927920184765492,"[0, 2, 6, 7, 8, 9]",908.96
0.01,2,Proposed_Method,0.08498104831267994,0.08434463842127536,0.08545456650207464,0.1350442206037468,0.13190291271897991,0.14064892595195372,"[7, 8, 9]",58.91
0.01,3,Pearson_Correlation_(abs),0.009544048373341982,0.00022066482040283852,0.020424996092636337,0.17123143936223392,0.002744609851633584,0.5048367266404057,"[0, 3, 4, 5, 8, 9]",1694.12
0.01,3,Mutual_Information,0.0034897643727672518,0.0,0.015740280605406554,0.5625231704651293,0.0,1.6875695113953881,"[0, 4, 5, 8, 9]",16019.23
0.01,3,Distance_Correlation,0.017798215415876388,0.012558360127201417,0.02534014010273437,0.1793417018328889,0.013210090107507049,0.506968041621107,"[1, 3, 5, 7, 8, 9]",907.64
0.01,3,Proposed_Method,0.08563013978340636,0.08509050693988392,0.08618136817232257,0.13352967383871858,0.12670929012878002,0.1383445791463243,"[7, 8, 9]",55.94
0.01,4,Pearson_Correlation_(abs),0.009552607214031653,0.0006682816943914535,0.02501900954930254,0.17388818914257717,0.0015563316858608484,0.5153772793402737,"[1, 3, 5, 6, 8, 9]",1720.32
0.01,4,Mutual_Information,0.002475366638703889,0.0,0.014424585084007902,0.5716990102818095,0.0,1.7033562632118242,"[3, 4, 7, 8, 9]",22995.53
0.01,4,Distance_Correlation,0.01810729444062891,0.012876056700954116,0.02822620664126324,0.1821962161617745,0.01569442803480035,0.5079680673604606,"[1, 3, 5, 6, 8, 9]",906.2
0.01,4,Proposed_Method,0.08038143726798853,0.0796499601364143,0.08136841409392899,0.1457766463746934,0.13600730983827677,0.1556578154013879,"[7, 8, 9]",81.36
0.01,5,Pearson_Correlation_(abs),0.006444077772718872,0.0003918189383357469,0.026681871222359044,0.1754289965165324,0.008160301217511065,0.5063422158402763,"[0, 4, 7, 8, 9]",2622.33
0.01,5,Mutual_Information,0.0033244865106307224,0.0,0.016563213219011885,0.5650975652151313,0.0,1.695292695645394,"[4, 6, 8, 9]",16898.04
0.01,5,Distance_Correlation,0.017139681148998023,0.012508842653563121,0.026528034381928887,0.18173739102763306,0.018819331320391767,0.50647998808047,"[0, 6, 7, 8, 9]",960.33
0.01,5,Proposed_Method,0.0848871650879383,0.08434348609799239,0.0857253727697776,0.13526328146147734,0.1268951864256548,0.14098750254746334,"[7, 8, 9]",59.34
0.01,6,Pearson_Correlation_(abs),0.008950372474795196,4.9895583432845705e-05,0.029425953080917937,0.16083837885171692,0.0010439769634616254,0.47393505265125885,"[1, 3, 4, 8, 9]",1697.0
0.01,6,Mutual_Information,0.003095818524236587,0.0,0.020650538284153086,0.5447053562202084,0.0,1.6341160686606253,"[0, 3, 6, 8, 9]",17494.87
0.01,6,Distance_Correlation,0.01806547177823771,0.012427808817390477,0.031472869391249075,0.17352802239312748,0.014210835541845112,0.486562982578223,"[0, 3, 4, 8, 9]",860.55
0.01,6,Proposed_Method,0.083742356179066,0.08281673832788698,0.0851686167055666,0.13793450224884604,0.13126457328085359,0.14445342302139338,"[7, 8, 9]",64.71
0.01,7,Pearson_Correlation_(abs),0.007290808007806054,0.00048353649480711245,0.02132961168756802,0.1769722665055804,0.01120859273019856,0.5065845554276863,"[2, 3, 8, 9]",2327.33
0.01,7,Mutual_Information,0.002802920246228524,0.0,0.017504557562421752,0.5685970697206045,0.0033368822891617356,1.6940339789119392,"[2, 4, 5, 8, 9]",20185.88
0.01,7,Distance_Correlation,0.016885294405177585,0.013098861534515085,0.025515307608427285,0.1818223585277815,0.019225496776038593,0.50672378615579,"[2, 3, 5, 8, 9]",976.81
0.01,7,Proposed_Method,0.08744155577786429,0.08668878227274764,0.08821304970093724,0.1293030365183167,0.12654246882424192,0.13369439113793297,"[7, 8, 9]",47.87
0.01,8,Pearson_Correlation_(abs),0.007605145107670787,0.000444328460508657,0.02203557101508369,0.16442093257201254,0.001465415396344778,0.4836846492521332,"[0, 1, 2, 6, 8, 9]",2061.97
0.01,8,Mutual_Information,0.003056232998377365,0.0,0.02105229244773099,0.5445878504597289,0.0,1.6281416142098246,"[0, 2, 4, 7, 8, 9]",17718.92
0.01,8,Distance_Correlation,0.01738098898328588,0.01266067566597956,0.025202338122623392,0.17451210801491226,0.01754699026331767,0.4883563082860944,"[1, 3, 4, 6, 8, 9]",904.04
0.01,8,Proposed_Method,0.08157319847995935,0.08050580251403532,0.08274991166068407,0.14299587021342816,0.13486922793327347,0.1523817916270399,"[7, 8, 9]",75.3
0.01,9,Pearson_Correlation_(abs),0.006828300550150962,0.0001780588746235099,0.02648156586036021,0.17781064025526386,0.0022806037584507605,0.526604294201058,"[2, 6, 7, 8, 9]",2504.02
0.01,9,Mutual_Information,0.0045628876672311035,0.0,0.021187154741391545,0.5787384652256904,0.004416710590416706,1.7150483111491992,"[0, 5, 6, 7, 8, 9]",12583.6
0.01,9,Distance_Correlation,0.01756418372157356,0.012398566072507965,0.02860679096973714,0.1810945287806692,0.013299258055375402,0.5134976140773316,"[1, 2, 5, 6, 8, 9]",931.04
0.01,9,Proposed_Method,0.08651197220589171,0.08569135674217854,0.0878732621578614,0.13147206485291932,0.12632046916599396,0.13449036156269434,"[7, 8, 9]",51.97
0.01,10,Pearson_Correlation_(abs),0.007858910176642961,1.6986476487951576e-05,0.024789355524920183,0.17178584132691563,0.003675752341370239,0.5057061133942433,"[4, 5, 8, 9]",2085.87
0.01,10,Mutual_Information,0.002602290398783574,0.0,0.016184055983506695,0.5703435188392039,0.0,1.7110305565176116,"[0, 4, 5, 6, 8, 9]",21816.98
0.01,10,Distance_Correlation,0.017755537490786896,0.01140491030985182,0.035117818272816535,0.18110688710492895,0.01557581764415715,0.5115338026287323,"[4, 5, 8, 9]",920.0
0.01,10,Proposed_Method,0.085811201123812,0.08412690837791555,0.08755220343498421,0.13310719737777202,0.125379376277352,0.13889883955584012,"[7, 8, 9]",55.12
0.01,11,Pearson_Correlation_(abs),0.006645862446785796,3.665231757507194e-05,0.024737098428917678,0.17167924342964858,0.00012052850680340127,0.5053611911730341,"[1, 2, 8, 9]",2483.25
0.01,11,Mutual_Information,0.003915979755318132,0.0,0.015011040483890348,0.561868091130623,0.0009047958904657705,1.682720189053411,"[2, 4, 8, 9]",14248.08
0.01,11,Distance_Correlation,0.01682370652996988,0.011444903033931331,0.02510505760354345,0.17796017363161246,0.015769930897947322,0.5016050494289402,"[0, 1, 2, 8, 9]",957.79
0.01,11,Proposed_Method,0.08651870494794307,0.08538196010407238,0.08769941115879715,0.13145635512146625,0.12012809141823787,0.1439859893463138,"[7, 8, 9]",51.94
0.01,12,Pearson_Correlation_(abs),0.00839540884687143,0.0006328257792958846,0.02950243813711939,0.16203754616368352,0.0021592728741386164,0.4781377770239909,"[4, 5, 6, 7, 8, 9]",1830.07
0.01,12,Mutual_Information,0.004123122807614875,0.0,0.016008402063272698,0.5448952080464519,0.0,1.6346856241393555,"[0, 5, 7, 8, 9]",13115.59
0.01,12,Distance_Correlation,0.01796804434066668,0.011505388380532142,0.02985870225184835,0.16986576249313914,0.012033325370083989,0.4839732993341208,"[4, 5, 6, 7, 8, 9]",845.38
0.01,12,Proposed_Method,0.08720614616570899,0.08633112218313944,0.08797471777860222,0.12985232561334573,0.123297362912518,0.13473193152858182,"[7, 8, 9]",48.9
0.01,13,Pearson_Correlation_(abs),0.007511435001389737,1.353455060759902e-05,0.01861326248734547,0.17921379850079955,0.012404237993375929,0.5098971599414669,"[4, 5, 6, 8, 9]",2285.88
0.01,13,Mutual_Information,0.0024822207996424324,0.0,0.01334616235272268,0.5623563610781647,0.0,1.686694265016924,"[1, 2, 4, 5, 8, 9]",22555.37
0.01,13,Distance_Correlation,0.0165615161260606,0.01182588784744611,0.024032534804574793,0.18284049216666007,0.01786070266424113,0.5058409526030323,"[5, 7, 8, 9]",1004.01
0.01,13,Proposed_Method,0.08500447764333618,0.08402507523776101,0.08678288019925366,0.13498955216554887,0.1303779351998326,0.14066219128656884,"[7, 8, 9]",58.8
0.01,14,Pearson_Correlation_(abs),0.007092454133607249,1.8785994267701835e-05,0.020961396415789788,0.17037596739137917,0.002146669129979313,0.5003953267579876,"[0, 1, 3, 5, 8, 9]",2302.21
0.01,14,Mutual_Information,0.0027030495088993774,0.0,0.018388508886721944,0.5642309791308495,0.0015571378385930146,1.6851414887560052,"[0, 2, 3, 4, 8, 9]",20773.87
0.01,14,Distance_Correlation,0.0170933302111647,0.011939241165142056,0.025569931409212775,0.17726979018585334,0.014667870968775901,0.5010766301847039,"[0, 5, 6, 8, 9]",937.07
0.01,14,Proposed_Method,0.08763985786727282,0.08690344657225893,0.08811891278436652,0.12884033164303016,0.12247366069370091,0.13356254547084662,"[7, 8, 9]",47.01
0.01,15,Pearson_Correlation_(abs),0.0066698254385185425,0.00010294691633303536,0.01876263607282342,0.1793768017693974,0.010545284406779785,0.5058185499093693,"[4, 6, 7, 8, 9]",2589.38
0.01,15,Mutual_Information,0.002374684248745635,0.0,0.013112684130932806,0.5740084723971846,0.006562121731239934,1.7072660275447502,"[1, 4, 7, 8, 9]",24071.99
0.01,15,Distance_Correlation,0.01701587217738218,0.012190695302600018,0.023733236493805248,0.1851818964647229,0.021239795707646524,0.5085994395878177,"[1, 2, 7, 8, 9]",988.29
0.01,15,Proposed_Method,0.08529462500224554,0.08435257946076166,0.0862810909409079,0.13431254166142706,0.1291168215003989,0.14146699732041415,"[7, 8, 9]",57.47
0.01,16,Pearson_Correlation_(abs),0.006659127941486147,4.0512873425567075e-05,0.022187708535988455,0.16508236668342569,0.00205877232659196,0.4832509807204383,"[2, 4, 5, 8, 9]",2379.04
0.01,16,Mutual_Information,0.0027221561867228324,0.0,0.016306361235846722,0.5463024158453728,0.0,1.6389072475361184,"[0, 6, 7, 8, 9]",19968.74
